2025-12-13 18:52:10.120 [info] Reading sessions from keychain...
2025-12-13 18:52:10.120 [info] Getting sessions for all scopes...
2025-12-13 18:52:10.120 [info] Got 0 sessions for ...
2025-12-13 18:52:10.120 [info] Getting sessions for all scopes...
2025-12-13 18:52:10.120 [info] Got 0 sessions for ...
2025-12-13 18:52:10.120 [info] Getting sessions for all scopes...
2025-12-13 18:52:10.120 [info] Got 0 sessions for ...
2025-12-13 18:52:10.120 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-12-13 18:52:10.120 [info] Got 0 sessions for read:user,repo,user:email,workflow...
2025-12-13 18:52:10.303 [info] Getting sessions for all scopes...
2025-12-13 18:52:10.303 [info] Got 0 sessions for ...
2025-12-13 18:52:11.194 [info] Getting sessions for all scopes...
2025-12-13 18:52:11.194 [info] Got 0 sessions for ...
2025-12-13 18:52:11.461 [info] Getting sessions for all scopes...
2025-12-13 18:52:11.461 [info] Got 0 sessions for ...
2025-12-13 18:52:11.728 [info] Getting sessions for all scopes...
2025-12-13 18:52:11.728 [info] Got 0 sessions for ...
2025-12-13 18:52:12.359 [info] Getting sessions for all scopes...
2025-12-13 18:52:12.359 [info] Got 0 sessions for ...
2025-12-13 18:52:12.360 [info] Getting sessions for all scopes...
2025-12-13 18:52:12.360 [info] Got 0 sessions for ...
2025-12-13 18:52:12.365 [info] Getting sessions for all scopes...
2025-12-13 18:52:12.365 [info] Got 0 sessions for ...
2025-12-13 19:23:53.303 [info] Getting sessions for all scopes...
2025-12-13 19:23:53.303 [info] Got 0 sessions for ...
2025-12-13 20:27:03.710 [info] Getting sessions for all scopes...
2025-12-13 20:27:03.710 [info] Got 0 sessions for ...
2025-12-14 06:13:48.862 [info] Getting sessions for all scopes...
2025-12-14 06:13:48.862 [info] Got 0 sessions for ...
2025-12-14 06:13:49.642 [info] Getting sessions for all scopes...
2025-12-14 06:13:49.642 [info] Got 0 sessions for ...
2025-12-14 06:14:10.533 [info] Getting sessions for all scopes...
2025-12-14 06:14:10.534 [info] Got 0 sessions for ...
2025-12-14 06:49:42.304 [info] Getting sessions for all scopes...
2025-12-14 06:49:42.304 [info] Got 0 sessions for ...
2025-12-14 06:49:43.481 [info] Getting sessions for all scopes...
2025-12-14 06:49:43.482 [info] Got 0 sessions for ...
2025-12-14 06:49:48.907 [info] Getting sessions for all scopes...
2025-12-14 06:49:48.907 [info] Got 0 sessions for ...
2025-12-14 06:49:50.108 [info] Getting sessions for all scopes...
2025-12-14 06:49:50.108 [info] Got 0 sessions for ...
2025-12-14 06:59:33.154 [info] Getting sessions for all scopes...
2025-12-14 06:59:33.154 [info] Got 0 sessions for ...
